probeID	correlation	p_value_order	p_value	effect_size	case_group	control_group
cg11538810	pos	66	0.00000037	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12800962	neg	67	0.000000414	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12160664	neg	68	0.000000435	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06095631	neg	69	0.000000436	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20539142	pos	70	0.000000448	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03295554	pos	71	0.000000451	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23066564	pos	72	0.000000469	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15195412	pos	73	0.000000479	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15171911	neg	74	0.000000486	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09353251	pos	75	0.00000052	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21109038	neg	76	0.000000526	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04347477	pos	77	0.000000528	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07058694	neg	78	0.000000537	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02216011	pos	79	0.000000559	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17588003	neg	80	0.000000574	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13851621	pos	81	0.000000577	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07104958	neg	82	0.000000598	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25363679	neg	83	0.000000604	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07340025	pos	84	0.00000064	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13227551	pos	85	0.000000669	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06930757	pos	86	0.000000689	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02604522	pos	87	0.000000689	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20327845	pos	88	0.000000706	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03930153	pos	89	0.000000711	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20258698	pos	90	0.000000751	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13941235	pos	91	0.000000762	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00469269	pos	92	0.000000808	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00464773	pos	93	0.000000817	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06940720	neg	94	0.000000874	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01149053	neg	95	0.000000894	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02137956	pos	96	0.00000092	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25020550	pos	97	0.000000939	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16649034	pos	98	0.000000946	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11387340	pos	99	0.000000972	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26657404	pos	100	0.000000978	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17879376	pos	101	0.00000102	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23469878	pos	102	0.00000104	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23719157	neg	103	0.00000105	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07116337	pos	104	0.00000106	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01799671	pos	105	0.00000106	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09662162	pos	106	0.00000108	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13586051	pos	107	0.00000117	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18623216	pos	108	0.00000118	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24310395	neg	109	0.0000012	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12342675	pos	110	0.00000123	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05667256	pos	111	0.00000128	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08460407	pos	112	0.00000131	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14999189	pos	113	0.00000132	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14023999	neg	114	0.00000137	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11854981	pos	115	0.00000142	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24896366	pos	116	0.00000145	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00688311	neg	117	0.00000147	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08079266	pos	118	0.00000149	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24301038	pos	119	0.0000015	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27375135	pos	120	0.0000015	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23924526	neg	121	0.00000152	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15451250	pos	122	0.00000155	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14527250	pos	123	0.00000155	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09418511	pos	124	0.0000016	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15865827	pos	125	0.00000164	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14209920	neg	126	0.00000166	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26817145	neg	127	0.00000169	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01076459	pos	128	0.0000017	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24360241	neg	129	0.00000176	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01087925	pos	130	0.00000183	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13590277	pos	131	0.00000183	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21551985	pos	132	0.00000186	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05969150	pos	133	0.00000188	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01153817	pos	134	0.00000189	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15078061	neg	135	0.00000189	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24423806	pos	136	0.0000019	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13712023	neg	137	0.00000191	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20068209	pos	138	0.00000194	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02231404	neg	139	0.00000196	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05612654	neg	140	0.00000197	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08596055	pos	141	0.00000201	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08370173	neg	142	0.00000204	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10198479	neg	143	0.00000206	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02438611	neg	144	0.00000209	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00936309	neg	145	0.0000021	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14258501	pos	146	0.00000211	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27023597	pos	147	0.00000213	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19439123	pos	148	0.00000213	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16356456	pos	149	0.00000214	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16936953	pos	150	0.00000225	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22315903	pos	151	0.00000228	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07726085	pos	152	0.00000229	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17806717	neg	153	0.00000235	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03676485	pos	154	0.00000239	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22512768	pos	155	0.00000256	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03792042	pos	156	0.0000026	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07810039	pos	157	0.00000269	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10319474	pos	158	0.00000273	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27061485	pos	159	0.00000274	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13447080	pos	160	0.00000277	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04228709	neg	161	0.00000278	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02438164	neg	162	0.0000029	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21042276	neg	163	0.0000029	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16545105	pos	164	0.00000294	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16097655	neg	165	0.00000299	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27198696	pos	166	0.00000299	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23943476	pos	167	0.00000303	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10437839	neg	168	0.00000304	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08369079	pos	169	0.00000308	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07910488	pos	170	0.0000031	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05294455	neg	171	0.00000315	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08439728	neg	172	0.00000319	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24332002	pos	173	0.00000326	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20297638	pos	174	0.00000326	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12063847	pos	175	0.00000329	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07398517	pos	176	0.00000334	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13442016	pos	177	0.00000342	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12192749	pos	178	0.00000347	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00280812	pos	179	0.00000357	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08996301	pos	180	0.00000362	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06164260	pos	181	0.00000363	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16677448	neg	182	0.00000364	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26258437	neg	183	0.00000364	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07338715	pos	184	0.00000378	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04866380	pos	185	0.00000387	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06573398	pos	186	0.00000389	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15685971	pos	187	0.00000389	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09982224	pos	188	0.00000392	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05922714	pos	189	0.00000395	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20095398	pos	190	0.00000398	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26669717	pos	191	0.00000412	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07747251	pos	192	0.00000413	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21707172	neg	193	0.00000413	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09174162	neg	194	0.00000428	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14287565	neg	195	0.00000428	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14597930	pos	196	0.00000441	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02782634	pos	197	0.00000442	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05626128	pos	198	0.00000449	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01375719	pos	199	0.0000045	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22499797	neg	200	0.00000462	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18778196	pos	201	0.00000463	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25287198	neg	202	0.00000466	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14292870	neg	203	0.00000466	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16638092	pos	204	0.00000471	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22762992	pos	205	0.00000481	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00558718	neg	206	0.0000049	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10819708	pos	207	0.00000492	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25337513	pos	208	0.00000495	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00224174	pos	209	0.00000497	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08235413	pos	210	0.00000498	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20392842	pos	211	0.00000501	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00587472	pos	212	0.00000504	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24621042	pos	213	0.00000517	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05322931	pos	214	0.0000052	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01577604	neg	215	0.00000521	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20076442	pos	216	0.00000521	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19913563	pos	217	0.0000053	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21542881	neg	218	0.00000538	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05552543	pos	219	0.00000545	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21554034	pos	220	0.00000546	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06784845	neg	221	0.00000554	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10004280	pos	222	0.00000554	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13331196	neg	223	0.00000563	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16040614	neg	224	0.00000564	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02986801	pos	225	0.00000575	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03144848	neg	226	0.00000575	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12235146	pos	227	0.00000579	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16739178	neg	228	0.00000582	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03545635	pos	229	0.00000587	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05581878	pos	230	0.00000591	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16536918	pos	231	0.00000593	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12147622	neg	232	0.00000597	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08420923	neg	233	0.00000603	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14900154	pos	234	0.00000605	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06769918	neg	235	0.00000625	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16932065	pos	236	0.00000628	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00762705	pos	237	0.00000633	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04120487	pos	238	0.00000642	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02372201	neg	239	0.00000647	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05671732	neg	240	0.00000648	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20163980	pos	241	0.0000065	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13541588	pos	242	0.00000651	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05253151	pos	243	0.00000655	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03341377	neg	244	0.00000663	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16046810	pos	245	0.00000668	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09739109	pos	246	0.00000668	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02597894	pos	247	0.00000672	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17516330	neg	248	0.00000673	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05267118	neg	249	0.00000677	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02179982	neg	250	0.00000681	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09160789	pos	251	0.00000684	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16725984	pos	252	0.00000686	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04396112	neg	253	0.00000691	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11049863	pos	254	0.00000692	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01158079	pos	255	0.00000699	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06533233	pos	256	0.00000721	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13823169	pos	257	0.00000723	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11313780	pos	258	0.00000726	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01059747	pos	259	0.00000728	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21842274	pos	260	0.0000073	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22383874	neg	261	0.0000073	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05228338	pos	262	0.00000734	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18420868	pos	263	0.00000735	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10864356	pos	264	0.00000737	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12334414	pos	265	0.00000739	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11744767	neg	266	0.00000748	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26077811	neg	267	0.00000749	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg06677321	neg	268	0.00000762	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07963670	neg	269	0.00000766	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04845871	pos	270	0.00000773	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27564715	pos	271	0.00000774	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14214856	pos	272	0.00000776	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13271643	pos	273	0.00000789	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10803034	pos	274	0.0000079	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22041417	pos	275	0.00000793	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08745334	pos	276	0.00000794	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12868738	neg	277	0.00000798	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03679544	neg	278	0.00000803	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11577461	neg	279	0.00000804	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07385257	neg	280	0.00000804	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01154283	pos	281	0.00000805	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00190795	pos	282	0.00000808	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17818724	neg	283	0.00000809	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23891487	pos	284	0.00000809	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07770777	pos	285	0.00000812	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12670305	neg	286	0.00000814	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00375581	pos	287	0.00000836	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03606098	pos	288	0.00000842	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07397493	neg	289	0.00000842	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02777065	pos	290	0.00000843	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22980833	pos	291	0.00000845	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15078975	pos	292	0.00000848	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00004105	pos	293	0.00000853	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26104196	pos	294	0.00000856	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00290758	pos	295	0.0000086	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10070864	pos	296	0.00000868	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09866743	pos	297	0.00000871	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11480762	neg	298	0.00000884	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10397819	neg	299	0.00000888	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10270238	neg	300	0.00000907	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03038418	pos	301	0.00000909	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09354556	neg	302	0.00000927	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14905320	neg	303	0.0000093	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23291039	neg	304	0.00000937	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05280806	neg	305	0.00000938	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg22455527	pos	306	0.00000942	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20334115	pos	307	0.00000949	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05133205	neg	308	0.00000949	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01556706	pos	309	0.00000951	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09236657	pos	310	0.00000956	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09460553	pos	311	0.00000985	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01828676	pos	312	0.00000986	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11377277	pos	313	0.00000991	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02818170	pos	314	0.00001	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02601249	pos	315	0.0000101	NA	maternal hypertensive disorders in pregnancy	healthy controls
